emotion,sentence
angry,عقب‌نشینی سریع و ناپیوسته را تجربه می‌کنم و گاهی اوقات نمی‌توانم راه‌حلی برای آن پیدا کنم.
angry,غضبم را در دل خود نگه می‌دارم.
angry,عقب‌نشینی تلخ است.
angry,عصبانیتم را نمی‌توانم فرو برمارم.
angry,عصبانیتم مرا به شورش می‌کشاند و دست‌نیافتنی است.
angry,حسرت بی‌تاب و رنج فراوان، آسیب‌های پنهان درونی
angry,خشمم مانع عقلم می‌شود و کارهای احمقانه می‌کنم.
angry,از روحیه بدت عصبانی هستم.
angry,غضب و ناامیدی
angry,احساس خشم عمیقی دارم و آرامشم را از دست داده‌ام.
angry,خشمم مانع عقلم می‌شود.
angry,خشمم به من آسیب می‌رساند و قلبم به سرعت می‌تپد.
angry,عصبانیتم مرا فریب می‌دهد.
angry,خشم مهیب و ناقابل کنترل است.
angry,عذاب نفس کننده و غمگین، حسرت بی‌تاب و تاریکی
angry,آسیب دیده و شکسته، تنهایی بی‌حد و مرز درونی
angry,عصبانیت بی‌قاعده
angry,غضبم را نمی‌توانم کنترل کنم و از دست می‌دهم.
angry,غضبم را در دل خود نگه می‌دارم و همه چیز را درونم نگه می‌دارم.
angry,غمگینی بی‌محابا و ناپایان، حسرت تلخی و تنهایی
angry,دیوانگی درونی را نشان می‌دهد.
angry,آزرده‌ام که همیشه به اشتباهاتم اشاره می‌کنی.
angry,بی‌امیدی سنگین و زخمی، تنهایی بی‌پایان و دردناک
angry,آسیب دیده و شکسته، احساس بی‌تابی و ناراحتی
angry,خشم تلخ و سرکش درونم می‌جوشد.
angry,عصبانیتم مرا به هم می‌زند و درونم را می‌سوزاند.
angry,تمسخر تلخ است.
angry,آزرده‌ام که همیشه انتظارهایم را نمی‌فهمی و از حرفهایم بازمی‌کنی.
angry,افروختگی و عدم تحمل
angry,عصبانیتم را نمی‌توانم پنهان کنم و برخی اوقات باعث خسارت می‌شود.
angry,غضبم نابودم می‌کند و دستانم تکان می‌خورد.
angry,خشم و بی‌عدالتی
angry,غضب سوزان درونم را می‌سوزاند و احساس عدم کنترل بر رفتارم را دارم.
angry,خشمم را نمی‌توانم کنترل کنم و با خشم و خشمگینی عمل می‌کنم.
angry,اعتراض و خشونت
angry,ناراحتم که همیشه به اشتباهاتم اشاره می‌کنی و از کمبودهایم یاد می‌کنی.
angry,به خشم تبدیل می‌شوم و حرف‌هایم تند می‌شود.
angry,عصبانیت بی‌حد
angry,آزرده‌ام که همیشه به تماسهایم پاسخ نمی‌دهی و از نیازهایم بی‌اعتنا می‌گذری.
angry,تمسخر سرد و بی‌رحم است.
angry,عصبانیت ذره‌ای ندارم
angry,بی‌امیدی عمیق و زخمی، آشفتگی ناگز
angry,احساس ناراحتی میکنم که همیشه به من اهمیت نمی‌دهی.
angry,دلم تنگ است و خشمگینم.
angry,آزرده‌ام که همیشه به دستاوردهایم اهمیت نمی‌دهی و من را دلسرد می‌کنی.
angry,خشمگینم
angry,خشم بی‌پروایی و نارضایتی
angry,تجاوز و خونسردی
angry,خشمم را به شدت بیان می‌کنم و نمی‌توانم سرکوب کنم.
angry,اشک‌های بی‌حاصل و بی‌انتها، تنهایی سرخورده و بی‌امیدی
angry,غضب سوزان در دلم می‌سوزد.
angry,بی‌تحملی ناراحت‌کننده و خسته کننده است و من را از تعامل با دیگران منع می‌کند.
angry,عصبانی هستم که همیشه انتظارهایم را نمی‌فهمی.
angry,افروختگی و بی‌اعتنایی
angry,عذاب نفس کننده و غمگین، ناامیدی سنگین و تلخ
angry,خشم و بی‌احترامی
angry,خشمم در سینه‌ام جوش می‌کند.
angry,خشونت و تجاوز
angry,غضبم را در قلبم حفظ می‌کنم و به هیچ کس نمی‌گویم.
angry,خشم نابروز و بی‌توجهی
angry,خشمم را نمی‌توانم فرو برم و صدایم بلند می‌شود.
angry,خشمم به تمام وجودم سیلاب می‌شود و هیچ کس نمی‌تواند جلویش را بگیرد.
angry,عصبانی هستم
angry,غضبم را درون خود پنهان می‌کنم و هیچ کس نمی‌فهمد.
angry,آزرده‌ام که همیشه از تو نتیجه می‌گیرم که تو به من اهمیت نمی‌دهی و به دیگران توجه می‌کنی.
angry,عصبانیت و خشونت
angry,خستگی ناقابل و غم فراوان، حسرت عمیق و تاریکی
angry,اعتراض و سرمستی
angry,به تو تنفر دارم که همیشه به من بی‌احترامی می‌کنی و حقوقم را نادیده می‌گیری.
angry,دلم پر از خشم است
angry,از تو غضبناک شده‌ام
angry,دلتنگی ناپایدار و بی‌منتها، آشفتگی بی‌رحم
angry,از تو ناراحتم
angry,خشم و نادیده‌گرفتن
angry,عصبانیت بی‌حساب
angry,غضب و ترس
angry,خشم عارمانه
angry,با تو غضب دارم که همیشه حقیقت را پنهان می‌کنی.
angry,خشم نابروز
angry,آسیب دیده و زخمی بی‌تاب، بی‌امیدی روزافزون
angry,خشمم به لبم می‌رسد.
angry,تنهایی سرخورده و احساس بی‌قراری و نیاز
angry,غضبم را نمی‌توانم پنهان کنم و لبخندم می‌گسیلد.
angry,عصبانیتم از کنترل خارج شده است و قلبم به سرعت وحشتناکی تپش می‌زند.
angry,عصبانیتم مرا به اعماق خود فرو می‌کشد.
angry,تلخی آسیب دیده و غمگین، رنج و رنجوری هر روز
angry,خشمم به من آسیب می‌رساند و گاهی کنترلم را از دست می‌دهم.
angry,دیگر تحمل نمی‌کنم
angry,غضب و تکبر
angry,اشک‌های بی‌حاصل و ناگزیر، تنهایی سرخورده و دردناک
angry,آزرده‌ام که همیشه از تصمیم‌هایم شک داری.
angry,آزرده‌ام که همیشه از تو نتیجه می‌گیرم که تو به من اهمیت نمی‌دهی و به دیگران تمرکز می‌کنیو احساساتم را نادیده می‌گیری.
angry,خشمم را کنترل نمی‌کنم
angry,ناراحتم که همیشه دستوراتم را نادیده می‌گیری.
angry,خشمم به ته چشمانم می‌رسد.
angry,خشمم در سینه‌ام جوش می‌کند و نگاهی تیره می‌اندازم.
angry,به تو غضب دارم که همیشه به دستورات من عمل نمی‌کنی.
angry,خشمگینم که همیشه به من بی‌احترامی می‌کنی و از تلاشهایم عبور می‌کنی.
angry,احساس عصبانیت بیش از حد معمول است و نیاز به یافتن راه‌حلی دارد.
angry,خشم تلخ و ناگهانی در دلم جاری است و تمام وجودم را در بر می‌گیرد.
angry,غضبم را در قلبم حفظ می‌کنم و آن را بیان نمی‌کنم.
angry,از بی‌احترامیت عصبانی هستم.
angry,از بی‌توجهیت ناراحتم که همیشه به حاشیه بردنم مشغولی و به دستاوردهایم اهمیت نمی‌دهی.
angry,تجاوز و بی‌رحمی
angry,خشمم به ته چشمانم می‌رسد و از هر کسی که دستم بگیرد، می‌پرم.
angry,آسیب دیده و ناگزیر، غمگینی بی‌انتها و بی‌محابا
angry,به خشم می‌سوزم و حسابی دیوانه می‌شوم.
angry,افروختگی و خشم
angry,تنهایی بیدار و خسته کننده، دردی که همیشه همراه است
angry,خشمم را نمی‌توانم کنترل کنم و قلبم به سرعت می‌تپد.
angry,بی‌امیدی عمیق و زخمی، آشفتگی ناگزیر و خستگی
angry,غضبم درونم را به تندی می‌سوزاند.
angry,عصبانیت و عدم تحمل
angry,آشفتگی روزافزون و بی‌امیدی سنگین، دردهای ناراحت کننده
angry,عصبانی هستم که همیشه به تمسخرهای تو طاقت نمی‌آورم.
angry,از دست تو عصبانیم
angry,تجاوز و خشونت
angry,خشونت و نفرت
angry,خشم و نفرت
angry,خشمم زمین می‌خورد
angry,درد تلخ و غم فراوان، احساس بی‌تابی و رنج آور
angry,احساس عصبانیت می‌تواند به تصمیم‌گیری‌های نادرست و عجولانه منجر شود.
angry,اعتراض و سرکوب
angry,دلتنگی بی‌پایان و ناپایدار، درد واقعی و سخت
angry,به تو عصبانی هستم
angry,ناراحتم که همیشه به من توهین می‌کنی و خودت را برتر از من می‌بینی.
angry,خشمم به سقف می‌رسد
angry,عصبانیتم از کنترل خارج شده است و کلماتم تند می‌شود.
angry,خشم ناگزیری
angry,عصبانیتم مانع ارتباطم با دیگران می‌شود و روابطم را تحت تأثیر قرار می‌دهد.
angry,عصبانیتم به‌حداکثر رسیده است
angry,غضب و بی‌حسابی
angry,خشمم دیگر تحمل نمی‌کند
angry,تحمل ناپذیری و خشم
angry,تحمل ناپذیری و ستم
angry,عصبانیتم را به عنوان عدم توجه به حرفهایم ببین.
angry,با تو ناراحتم که همیشه به من توهین می‌کنی و از تلاشهایم سر باز می‌کنی.
angry,تمسخر تلخ می‌شود.
angry,از تو خشمگینم
angry,احساس خفقانی و بی‌تابی، رنج و رنجوری هر لحظه
angry,غضب سوزان درونم را می‌سوزاند.
angry,حسرت عمیق و تلخی لحظه‌های گذشته، احساس دلتنگی
angry,به تو تنفر دارم که همیشه مرا ناراحت می‌کنی.
angry,عصبانیتم را به عنوان بی‌توجهی تو تجربه می‌کنم.
angry,دلم تنگ از خشم است
angry,به تو عصبانی هستم که هیچ وقت به من حقیقت را نمی‌گویی.
angry,خشمگینم که همیشه به دنبال دلایلی برای درگیر شدن با من هستی.
angry,احساس میکنم ناراحتیم را به عنوان بی‌احترامی تو تجربه می‌کنی.
angry,تمسخر ترسناک و ناگهانی را تجربه می‌کنم و احساس ناتوانی در برابر آن دارم.
angry,با تو غضب دارم که همیشه به من نمی‌اندیشی و تلاشی برای متوقف کردن ناراحتیم نمی‌کنی.
angry,خشمگینم که همیشه به نظراتم بی‌اعتنا می‌شوی و از دلایلم غافل می‌شوی.
angry,تحمل ناپذیری و بی‌رحمی
angry,احساس عصبانیت عمیقی دارم و صدایم پر از خشم و عصبانیت است.
angry,احساس تنهایی وابسته، غمگینی عمیق و بی‌پایان در دل
angry,خشمم را نمی‌توانم کنترل کنم و روزگارم بهم می‌خورد.
angry,دلتنگی بی‌حد و مرز، درد بی‌رحمی و سکوت درونی
angry,غضبناکم
angry,خستگی ناقابل و غم فراوان، احساس بی‌اندازه دلتنگی
angry,خشونت و عصبانیت
angry,آزرده‌ام که همیشه به اشتباهاتم اشاره می‌کنی و نمی‌توانم به خودم اعتماد کنم.
angry,خشمم در سینه‌ام جوش می‌کند و احساس خشمم از من بیرون می‌زند.
angry,عصبانیتم مرا درونی و بی‌قرار می‌کند.
angry,به تو ناراضی هستم
angry,درد تلخ و غم فراوان، حسرت عمیق و بی‌تابی
angry,عصبانیت دارم
angry,عصبانیت بی‌معنی
angry,افروختگی و ستم
angry,تندی ناپذیر است.
angry,آتش خشم در دلم می‌سوزد.
angry,خشمم مانند آتشی است که در دلم می‌سوزد و هیچ کس نمی‌تواند آن را خاموش کند.
angry,خشمگین و عصبی هستم
angry,خشمگینم که همیشه به نظراتم اهمیت نمی‌دهی و از دستاوردهایم بی‌خبر می‌شوی.
angry,خشم و ستمگری
angry,خشمگینم که همیشه نظراتم را با محبت نمی‌پذیری.
angry,از تو ناراضیم
angry,خشمم را نمی‌توانم کنترل کنم
angry,ناراحتم که همیشه در زمانهای مهم نمی‌آیی.
angry,تحمل ناپذیری و نفرت
angry,انتقام و بی‌عقلانیت
angry,تو مرا عصبانی کرده‌ای
angry,خشمم به من آسیب می‌رساند و احساس تلخی می‌کنم.
angry,آزرده‌ام که همیشه به تماسهایم پاسخ نمی‌دهی و از نیازهایم غافل می‌مانی.
angry,خشمم مانع عقلم می‌شود و بی‌اندیشه عمل می‌کنم.
angry,غضبم من را می‌سوزاند و احساس خشمم تمام وجودم را در بر می‌گیرد.
angry,بی‌تحملی ناقابل تحمل است.
angry,افروختگی و نارضایتی
angry,انتقام و ترس
angry,آتش عصبانیت در دلم می‌سوزد و کلمات تند و تیزی را از دهانم می‌بارانم.
angry,عصبانیتم را درون خود نگه می‌دارم و می‌سوزانم.
angry,باعث عصبانیتم می‌شوی که همیشه من را بی‌خبر می‌گذاری.
angry,عصبانیتم از سر گرفته است
angry,احساس می‌کنم ناراحتیم را به عنوان نادیده گرفتن تو متوجه می‌شوم.
angry,خشمم در سینه‌ام جوش می‌کند و قلبم به سرعت تپش می‌زند.
angry,غضب وحشتناک است.
angry,تشنگی عصبانیت را فروکاه می‌کند.
angry,خشم ناگزیری و نادیده‌گرفتن
angry,تندی نابسامان و ناپایدار است و بر روی رفتارم تأثیر می‌گذارد.
angry,به تو تنفر دارم که همیشه به من توهین می‌کنی و حقوقم را نادیده می‌گیری.
angry,خشمگینم که همیشه به نقطه نظر من احترام نمی‌گذاری.
angry,عصبانیتم نمی‌گذارد بخوابم
angry,خشمم مانع تصمیم‌گیری صحیح می‌شود.
angry,خشمگین و بی‌تاب هستم
angry,خشمگین و متأسف هستم
angry,خشم و بی‌مهری
angry,آتش مهیب خشمم را به اوج می‌برد و هیچکس نمی‌تواند آن را خاموش کند.
angry,تشنگی عصبانیت را به حداکثر می‌رساند و احساس تسلط بر دیگران دارم.
angry,عصبانیتم از کنترل خارج شده است و هیچ کسی نمی‌تواند احساس خشمم را تسکین دهد.
angry,آزرده‌ام که همیشه به من توهین می‌کنی و از امیدواری‌هایم سر باز می‌کنی.
angry,خشمم را نمی‌توانم کنترل کنم و به همه جا منتقل می‌شود.
angry,عصبانیتم را به سختی می‌پندارم.
angry,خشمم به ته چشمانم می‌رسد و به همه چیز تلخی می‌بخشم.
angry,خشمم را درون خود نگه می‌دارم.
angry,ناراحتم که همیشه در زمانهای مهم من را تنها می‌گذاری و حمایتت را از دست می‌دهی.
angry,عصبانی و عصبی هستم
angry,آزرده‌ام که همیشه از تو نتیجه می‌گیرم که تو به من اهمیت نمی‌دهی و توجهت را به دیگران می‌بری.
angry,خشم بی‌پروایی و اهانت
angry,خشمم را به تمام قوا بیان می‌کنم و به سرعت خنثی می‌شود.
angry,خشم و زورگویی
angry,غضبم مرا به نابودی می‌کشاند و دست‌نیافتنی است.
angry,آتش سوزان به تمام وجودم می‌رسد.
angry,تجاوز و اهانت
angry,آتش و افروختگی
angry,خشمم را بیان می‌کنم.
angry,رنج و رنجوری هر روز، اشک‌های بی‌حاصل در چشمان
angry,تندی مرگبار است.
angry,اندوه و خشم
angry,خشمم را به سختی پنهان می‌کنم و به طرزی دیوانه‌وار بروز می‌دهم.
angry,عصبانی هستم که همیشه به تمسخرهای تو تحمل می‌کنم.
angry,خشم و نارضایتی
angry,دلم تنگ از خشم و غضب است
angry,خشمم به ته چشمانم می‌رسد و مرا تسخیر می‌کند.
angry,صبرم لبریز شده
angry,خشم تلخ در دلم می‌سوزد.
angry,تجاوز و غفلت
angry,خشمم را نمی‌توانم فرو برم.
angry,عصبانی هستم که همیشه نقشه‌هایم را نادیده می‌گیری.
angry,آسیب دیده و شکسته، احساس بی‌تابی و مرگبار
angry,عدم تحمل و تکبر
angry,عصبانیتم تا حد انفجار است
angry,عقب‌نشینی سریع و بی‌پیش‌بینی است.
angry,خشمم به من آسیب می‌رساند و مانع عقلم می‌شود.
angry,هر بارکه خشمم برمی‌آید، هیچ کس امن نیست و هیچ صلحی نمی‌تواند برقرار شود.
angry,غضبم مانع صحبت کردنم می‌شود.
angry,شورش عصبانیت را فرا می‌خواند.
angry,تندی نابسامان و غیرقابل کنترل است و رفتارم را ناپیوسته می‌کند.
angry,غضب و تلخی
angry,باعث غصه می‌خورم که همیشه به حرفهایم توجه نمی‌کنی و از احساساتم غافل می‌مانی.
angry,غضب و ناراحتی
angry,عقب‌نشینی وحشتناک است.
angry,خشمم به ته چشمانم می‌رسد و نگاهی خشن می‌اندازم.
angry,تنهایی بی‌حد و مرز، درد بی‌رحمی و سکوت درونی
angry,غضبم را در دل خود نگه می‌دارم و انتقام را به آهستگی برنمی‌گیرم.
angry,خشمگینم که همیشه بی‌احترامیت را نشان می‌دهی.
angry,به خشم برآمده‌ام و به تمام وجودم پر از خشم و خشم است.
angry,خشمم به ته چشمانم می‌رسد و آرامشم را از دست می‌دهم.
angry,درد روزها و شب‌ها، هر روز به تنهایی بیدار شدن
angry,خشمم را نمی‌توانم کنترل کنم و روحم پر از آشوب و غربت است.
angry,خشمم را نمی‌توانم کنترل کنم و به اندازه می‌آورم.
angry,دیوانگی وحشتناک است.
angry,شورش عصبانیت را به سطحی ناپیوسته می‌برد.
angry,تنهایی زخمی و احساس بی‌قراری و ناراحتی
angry,به خشم برآمده‌ام و صدایم بلند و تند است.
angry,به خشم می‌سوزم و رفتارم پر از عصبانیت و خشم می‌شود.
angry,خشمم را به شدت بیان می‌کنم و احساس تسلط می‌کنم.
angry,عدم تحمل و نارضایتی
angry,خشم مرا تسخیر می‌کند.
angry,خشمم به لبم می‌رسد و کلمات بیرون می‌زنم.
angry,تحمل تو را ندارم
angry,غضبم نابودم می‌کند.
angry,انتقام و نارضایتی
angry,غضبم به سقف می‌رسد و صدایم بلند می‌شود.
angry,شورش واقعی را نشان می‌دهد.
angry,خشمم را نمی‌توانم فرو برمارم و هیچ کس را به آرامش نمی‌گذارم.
angry,خشم بی‌پروا
angry,عقب‌نشینی سریع و ناگهانی است.
angry,عصبانی هستم که همیشه به تلاشهایم نپیوستی و از راهبردهایم بی‌خبری.
angry,عدم تحمل و عصبانیت
angry,بی‌تحملی ناراحت‌کننده و سخت است.
angry,عصبانی و متأسف هستم
angry,سکوت درونی و ناتوانی در بیان درد و رنج
angry,تاریکی درونی و تنهایی بی‌حاصل، خستگی ناپایدار و بی‌رحم
angry,عصبانیت درونم را به تندی می‌سوزاند و نمی‌توانم آرامشی را پیدا کنم.
angry,عصبانیت ذره‌ای هم ندارم
angry,دلتنگی بی‌حاصل و بی‌پایان، تنهایی سرخورده و دردناک
angry,عصبانیتم آسمان را می‌پوشاند
angry,عصبانیتم از کنترل خارج شده است و قلبم به سرعت می‌تپد.
angry,خشم و عصبانیت دارم
angry,خشمگینم که همیشه به من بی‌احترامی می‌کنی و از تلاشهایم سودی نمی‌بری.
angry,عصبانی و خشمگین هستم
angry,خشمم در سینه‌ام جوش می‌کند و قلبم را می‌سوزاند.
angry,عدم تحمل و بی‌صبری
angry,عصبانی و متأسفم
angry,خشونت و بی‌رحمی
angry,خشمم به ته چشمانم می‌رسد و مرا از خود در می‌دهد.
angry,خشمم تمام وجودم است
angry,بی‌تحملی غیرقابل تحمل است.
angry,با تو غضب دارم که همیشه به نظراتم توجه نمی‌کنی و از تلاشهایم می‌گذری.
angry,غیظم می‌آید
angry,غضب سوزان به تنم می‌رسد.
angry,خشم و ستم
angry,عصبانیم کننده است که همیشه به نظرات من برای تو اهمیت نمی‌دهی.
angry,ناراحتم که همیشه به احساساتم اهمیت نمی‌دهی و من را به تنهایی می‌گذاری.
angry,غضب و بی‌احترامی
angry,خشم و بی‌رحمی
angry,افروختگی و ترس
angry,دیوانگی خاموش و مرموز است و کسی نمی‌تواند به آن نفهمد.
angry,خیلی عصبانی هستم
angry,آزرده‌ام که همیشه به تماسهای من پاسخ نمی‌دهی.
angry,عصبانی هستم که همیشه به حرفهای من طرف نمی‌شوی.
angry,خشم ناگزیری و بی‌تابی
angry,استفراغ و اعتراض
angry,به خشم می‌آیم!
angry,غضبم را درون خود نگه می‌دارم و آن را پنهان می‌کنم.
angry,سکوت درونی و ناتوانی در بیان رنج و درد
angry,عصبانیتم درونی است و باعث انزوا می‌شود.
angry,عصبانیتم مرا به انفجاری دست‌نیافتنی می‌کشاند و من را از کنترل خارج می‌دهد.
angry,عصبانی‌ترینم
angry,به خشم می‌سوزم.
angry,اعتراض و تجاوز
angry,عصبانیتم به اوج رسیده است
angry,به خشم وسوسه می‌شوم
angry,خشمگینی و بی‌رویه
angry,غضبم را نمی‌توانم پنهان کنم و به هر کسی که می‌بینم، خشم می‌ورزم.
angry,خشمم را بیان می‌کنم و نمی‌پذیرم.
angry,تشنگی خشم می‌شود.
angry,هر بار که خشمم برمی‌آید، هیچ کس امن نیست و هیچ صلحی نمی‌تواند برقرار شود.
angry,خشمم را نمی‌توانم کنترل کنم.
angry,عصبانیتم از کوره می‌آید
angry,احساس عصبانیت عمیقی دارم و صدایم پر از خشم است.
angry,از تو غصه میخورم که همیشه من را نادیده می‌گیری و به حرفهایم گوش نمی‌کنی.
angry,خشمم مانع عقلم می‌شود و هیچگاه به تصمیم صحیحی نمی‌رسم.
angry,غمگینی بی‌پایان و بی‌محابا، دردی که نمی‌گذرد
angry,خشم بی‌پروایی و خشونت
angry,آتش مهیب خشمم را به اوج می‌برد و هیچ کس نمی‌تواند آن را مهار کند.
angry,خشمم مانع عقلم می‌شود و هیچ چیزی نمی‌تواند آرامشم را بازگرداند.
angry,آتش مهیب خشمم.
angry,هر بار که خشمم برمی‌آید، جهان به تپش می‌آید و هیچ صلحی نمی‌تواند آن را فرو گیرد.
angry,تلخی آسیب دیده و غمگین، حسرت عمیق و تاریکی
angry,عصبانیتم به اوج خود رسیده است
angry,خشم و غضب
angry,خشم تلخ و ناگهانی در دلم می‌جوشد و تمام وجودم را در بر می‌گیرد.
angry,انتقام و اندوه
angry,عصبانیت بی‌پایان
angry,احساس عصبانیت درونی، سلامت روحی و روابط اجتماعیم را تحت تأثیر قرار می‌دهد.
angry,تشنگی عصبانیت را به اوج می‌رساند.
angry,با تو ناراحتم که همیشه به من توهین می‌کنی و از انتظارهایم سر باز می‌کنی.
angry,آتش عصبانیت در دلم می‌سوزد.
angry,خستگی ناپایدار و بی‌انتها، اشک‌های ناگزیر در چشمان
angry,غضب و بی‌رحمی
angry,افروختگی و سرکوب
angry,شورش در سینه.
angry,بی‌تحملی سخت و ناپذیر است.
angry,ناامیدی عمیق و بی‌پایان، تنهایی زخمی و مرگبار
angry,آتش عصبانیت در دلم می‌سوزد و همه چیز را به هم می‌زنم.
angry,خشم نابروز و نادیده‌گرفتن
angry,احساس عصبانیت عمیقی دارم و صدایم پر از خشم و خشم است.
angry,خشمم مثل طوفانی است که همه را در هم می‌ریزد و هیچ کس نمی‌تواند از آن فرار کند.
angry,به خشم می‌آیم و قلبم تپش می‌کند.
angry,خواب‌های ناشکیف و تنهایی بی‌قرار، آشفتگی روزافزون
angry,غضبم را در سکوت قلبم نگه می‌دارم.
angry,خشمگین و ناراحت هستم
angry,خشمم را نمی‌توانم فرو برمارم و تمام توانم را به رخ دیگران می‌کشانم.
angry,تندی نابسامان و غیرقابل تحمل است.
angry,ناراحتم که هیچ وقت خوب از دست مخالفانم نمی‌گذرد.
angry,دیوانگی خاموش را در دلم حس می‌کنم و آن را درون خود نگه می‌دارم.
angry,خشمم به من آسیب می‌رساند و تمام وجودم را متلاشی می‌کند.
angry,خشمم درونم را جوشانده و خاموش نمی‌شود.
